GI,VirusID
295060535,694014
295060537,694014
295060539,694014
295060540,694014
295060542,694014
295060544,694014
353444852,694014
353444926,694014
353444930,694014
353444932,694014
353444934,694014
353444936,694014
353444938,694014
353444940,694014
353444942,694014
353444948,694014
353444950,694014
353444986,694014
353444988,694014
353444994,694014
353444996,694014
353444998,694014
353444830,694014
353444832,694014
353444834,694014
353444838,694014
353444842,694014
353444854,694014
353444860,694014
353444944,694014
56311264,694014
58416205,694014
312274315,694014
312274319,694014
347361081,694014
347363946,694014
347363948,694014
347363950,694014
347363952,694014
56311232,694014
56311234,694014
56311236,694014
56311238,694014
56311240,694014
56311242,694014
56311244,694014
56311246,694014
56311248,694014
56311250,694014
56311252,694014
56311254,694014
56311256,694014
56311258,694014
56311260,694014
56311262,694014
56311276,694014
56311278,694014
56311280,694014
56311282,694014
56311284,694014
56311286,694014
56311288,694014
56311290,694014
56311292,694014
56311294,694014
56311296,694014
56311298,694014
56311300,694014
56311302,694014
56311304,694014
56311306,694014
56311308,694014
56311310,694014
56311312,694014
56311314,694014
56311316,694014
56311318,694014
56311320,694014
56311322,694014
58416179,694014
58416183,694014
58416187,694014
58416191,694014
58416195,694014
295060575,694014
283510348,694014
353444952,694014
353445000,694014
353445018,694014
353445020,694014
353445030,694014
353445032,694014
353445034,694014
353445036,694014
353445038,694014
353445040,694014
353445042,694014
353445044,694014
353445046,694014
353444964,694014
295060548,694014
295060565,694014
295060569,694014
295060571,694014
295060573,694014
295060554,694014
295060556,694014
295060558,694014
295060562,694014
295060563,694014
295060567,694014
304359456,694014
304359458,694014
304359460,694014
304359462,694014
304359464,694014
304359466,694014
229424337,694014
353445028,694014
806409,694014
806411,694014
806412,694014
29170477,694014
56411775,694014
56411777,694014
56411781,694014
56411785,694014
56411789,694014
56411791,694014
56411793,694014
56411806,694014
56411809,694014
56411815,694014
68138015,694014
70799024,694014
85724677,694014
85724679,694014
85815951,694014
87244983,694014
87244985,694014
87244987,694014
87244989,694014
88656782,694014
89954416,694014
91178211,694014
91178213,694014
91178215,694014
91178217,694014
91178219,694014
94420704,694014
94420708,694014
94420710,694014
94420712,694014
94420714,694014
94420716,694014
94420718,694014
94420720,694014
94449014,694014
94449016,694014
94449018,694014
94449020,694014
95925852,694014
95925854,694014
95925856,694014
95925858,694014
95925860,694014
95925862,694014
110430632,694014
110798152,694014
110798154,694014
110798155,694014
110798157,694014
110798159,694014
110798161,694014
110798162,694014
110798164,694014
110798165,694014
110798167,694014
110798168,694014
110798170,694014
110798172,694014
110798174,694014
110798175,694014
113374291,694014
113927105,694014
113927107,694014
113927109,694014
113927111,694014
113927113,694014
113927115,694014
113927117,694014
113927119,694014
113927121,694014
113927123,694014
117956257,694014
117956259,694014
117956261,694014
117956263,694014
118153431,694014
118153433,694014
118153435,694014
118153437,694014
121755776,694014
121755778,694014
124295436,694014
124295438,694014
124295440,694014
124295442,694014
124295444,694014
124295446,694014
124295448,694014
124295450,694014
124295452,694014
124295454,694014
124295456,694014
124295458,694014
124295460,694014
124295462,694014
124295464,694014
295060560,694014
211907060,694014
212681388,694014
353444968,694014
353444850,694014
353444858,694014
353444890,694014
353444954,694014
353444970,694014
353444990,694014
353445016,694014
353445026,694014
169665309,694014
182702146,694014
182702147,694014
182702149,694014
183229409,694014
183229411,694014
183229413,694014
183229415,694014
183229417,694014
183229419,694014
183229421,694014
183229423,694014
183229425,694014
183229427,694014
183229429,694014
183229431,694014
183229433,694014
189313868,694014
206604108,694014
258676482,694014
258676494,694014
258676506,694014
258676518,694014
260060504,694014
260060506,694014
260060508,694014
260060510,694014
289656560,694014
289656562,694014
289656564,694014
289656566,694014
301750576,694014
317452863,694014
317452866,694014
340366982,694014
340366984,694014
340366986,694014
340366988,694014
340366990,694014
340366992,694014
340366994,694014
340366996,694014
340366998,694014
340367000,694014
340367002,694014
283510349,694014
283510350,694014
283510351,694014
353444856,694014
353444864,694014
353444882,694014
353444900,694014
353444902,694014
353444906,694014
353444908,694014
353444958,694014
353444960,694014
353444962,694014
353444974,694014
353444978,694014
353444846,694014
283510352,694014
283510353,694014
283510354,694014
353444840,694014
353444844,694014
353444848,694014
353444862,694014
353444866,694014
353444870,694014
353444872,694014
353444878,694014
353444884,694014
353444892,694014
353444894,694014
353444912,694014
353444914,694014
353444916,694014
353444918,694014
353444922,694014
353444966,694014
353445004,694014
353445006,694014
353445008,694014
353445012,694014
353445014,694014
353445024,694014
350998972,694014
211907050,694014
212681378,694014
372468322,694014
226316424,11137
226316426,11137
226316428,11137
226316430,11137
226316432,11137
226316434,11137
226316436,11137
300834705,11137
300834707,11137
300834709,11137
300834710,11137
300834740,11137
300834742,11137
300834744,11137
300834746,11137
308230549,11137
308230551,11137
308230553,11137
308230555,11137
308230557,11137
308230559,11137
308230561,11137
308230563,11137
308230565,11137
308230567,11137
308230569,11137
308230571,11137
308230573,11137
308230575,11137
308230577,11137
404553529,11137
404553537,11137
225403195,694005
225403205,694005
225403217,694005
225403227,694005
225403238,694005
225403250,694005
225403260,694005
225403270,694005
225403280,694005
225403292,694005
226693969,694005
226693979,694005
293330422,694005
298199702,694005
76803866,694005
76803868,694005
76803870,694005
76803872,694005
76803874,694005
251748139,694005
253750530,694005
285803947,694009
108597802,694009
229595250,694009
285803917,694009
285803932,694009
354682785,694009
354682789,694009
354682793,694009
354682795,694009
326908382,694009
326908398,694009
326908414,694009
326908430,694009
326908446,694009
326908462,694009
326908478,694009
326908494,694009
326908510,694009
326908526,694009
326908542,694009
326908558,694009
326908574,694009
326908590,694009
326908606,694009
326908622,694009
326908638,694009
326908654,694009
326908670,694009
326908686,694009
326908702,694009
326908718,694009
326908734,694009
326908750,694009
326908766,694009
326908782,694009
326908798,694009
326908814,694009
326908830,694009
326908846,694009
326908862,694009
326908878,694009
326908894,694009
326908910,694009
326908926,694009
326908942,694009
326908958,694009
326908974,694009
326908990,694009
326909006,694009
42556132,694009
89514809,694009
89514824,694009
255733149,694009
289495933,694009
38098849,693997
38098851,693997
38098853,693997
52221409,693997
52221244,693997
46452188,693997
46452182,693997
46452180,693997
46452186,693997
118202165,693997
89146512,693997
118202163,693997
73913005,693997
89146515,693997
94315241,693997
90101883,693997
90101903,693997
90101877,693997
94315247,693997
90101897,693997
90101889,693997
90101909,693997
90101895,693997
90101881,693997
90101912,693997
90101901,693997
94315245,693997
90101879,693997
90101887,693997
90101899,693997
90101907,693997
214027097,693997
214027109,693997
215254377,693997
281486533,693997
281486553,693997
281486513,693997
281486567,693997
281486579,693997
281486493,693997
281486547,693997
281486559,693997
281486527,693997
281486573,693997
281486487,693997
281486507,693997
281486545,693997
281486499,693997
281486571,693997
281486525,693997
281486485,693997
281486505,693997
281486531,693997
281486539,693997
281486551,693997
281486479,693997
281486519,693997
281486565,693997
281486511,693997
281486491,693997
281486549,693997
281486503,693997
281486557,693997
281486537,693997
281486477,693997
281486563,693997
281486517,693997
281486497,693997
281486543,693997
281486569,693997
305660873,693997
284180238,693997
305660861,693997
305660841,693997
305660853,693997
284180218,693997
305660867,693997
315063857,693997
284180212,693997
284180232,693997
305660847,693997
305660865,693997
284180210,693997
305660845,693997
284180230,693997
315434508,693997
305660879,693997
284180204,693997
284180244,693997
284180216,693997
284180236,693997
305660859,693997
284180224,693997
284180228,693997
305660877,693997
288551407,693997
315063855,693997
284180242,693997
305660857,693997
284180222,693997
305660871,693997
305660851,693997
418470982,693997
63098796,693997
74054227,693997
74054229,693997
82570511,693997
82570513,693997
82570514,693997
82570516,693997
237682463,693997
237682473,693997
237682483,693997
237682493,693997
237682503,693997
237682513,693997
237682523,693997
237682532,693997
237682542,693997
237682552,693997
237682562,693997
237682572,693997
237682582,693997
237682592,693997
237682602,693997
237682612,693997
237682622,693997
237783633,693997
237783634,693997
237783635,693997
237783636,693997
237783637,693997
237783638,693997
237783639,693997
237783640,693997
237783641,693997
237783642,693997
238559917,693997
238559926,693997
238559932,693997
238559939,693997
238559947,693997
238559950,693997
238559953,693997
238559956,693997
238559958,693997
238559962,693997
238559965,693997
238559971,693997
238559974,693997
240015188,693997
242266552,693997
242266553,693997
242266554,693997
242266555,693997
251747936,693997
251747948,693997
251747960,693997
251747972,693997
251747982,693997
251747993,693997
251748004,693997
251748016,693997
251748027,693997
251748039,693997
251748051,693997
251748063,693997
262527605,693997
262527607,693997
262527609,693997
262527611,693997
262527613,693997
262527615,693997
262527617,693997
262527619,693997
262527621,693997
262527623,693997
262527625,693997
262527627,693997
262527629,693997
262527631,693997
262527633,693997
262527635,693997
262527637,693997
262527639,693997
262527641,693997
262527643,693997
262527645,693997
262527647,693997
262527649,693997
262527651,693997
262527653,693997
262527655,693997
262527657,693997
262527659,693997
262527661,693997
262527663,693997
262527665,693997
262527667,693997
262527669,693997
262527671,693997
262527673,693997
262527674,693997
192758567,693997
192758569,693997
52221236,693997
52221238,693997
13397900,693997
33304214,693997
60219106,693997
85680429,693997
110746792,693997
110746802,693997
110746812,693997
110746821,693997
110746831,693997
126513484,693997
126513486,693997
126513488,693997
126513490,693997
162296297,693997
162945935,693997
258407521,693997
284999594,693997
284999596,693997
324497636,693997
331264481,694003
145208944,694003
145208884,694003
145208896,694003
145208908,694003
145208920,694003
145559630,694003
145208932,694003
189342843,694003
193795728,694003
209781583,694003
209781581,694003
193795730,694003
281323193,694003
281323170,694003
224776035,694003
281323187,694003
281323182,694003
281323185,694003
281323176,694003
281323168,694003
281323174,694003
220682203,694003
237868670,694003
281323180,694003
281323191,694003
224776036,694003
251748088,694003
281323183,694003
224776037,694003
281323189,694003
281323178,694003
281323172,694003
294861819,694003
294861831,694003
294861839,694003
294861825,694003
294861823,694003
294861837,694003
294861835,694003
294861841,694003
294861829,694003
294861827,694003
294861821,694003
347465995,694003
347465969,694003
347465935,694003
343129772,694003
347466001,694003
347465955,694003
347466009,694003
347465975,694003
347465989,694003
343129792,694003
343129752,694003
347465949,694003
347465929,694003
343129732,694003
343129724,694003
347466007,694003
347465953,694003
347465961,694003
347465973,694003
347465981,694003
347465987,694003
347465927,694003
347465947,694003
347465967,694003
343129764,694003
343129784,694003
347465993,694003
347465921,694003
347465941,694003
347465933,694003
347465965,694003
347466011,694003
343129716,694003
347465999,694003
343129796,694003
347465939,694003
343129776,694003
347466005,694003
347465959,694003
347465979,694003
347465985,694003
343129756,694003
343129736,694003
347465925,694003
347465945,694003
343129728,694003
343129720,694003
347466003,694003
347465957,694003
347465977,694003
347465991,694003
347465951,694003
347465923,694003
347465931,694003
347465943,694003
347465963,694003
157785735,694003
283101141,694003
283101143,694003
283101145,694003
283101147,694003
110164908,694003
218937671,694003
220961739,694003
220961741,694003
220961743,694003
260595667,694003
260595678,694003
260595689,694003
316998095,694003
316998097,694003
343129712,694003
343129744,694003
343129768,694003
145208968,694003
145208980,694003
145208992,694003
310769573,694003
310769575,694003
310769583,694003
310769585,694003
170780331,694003
212571732,694003
260279149,694003
257479888,694003
257479890,694003
257479892,694003
257479894,694003
257479896,694003
257479898,694003
257479900,694003
257479902,694003
257479904,694003
257479906,694003
257479908,694003
257479910,694003
257479912,694003
257479914,694003
257479916,694003
257479918,694003
257479920,694003
257479922,694003
257479924,694003
257479926,694003
257479928,694003
257479930,694003
257479932,694003
257479934,694003
257479936,694003
257479938,694003
257479940,694003
257479942,694003
257479944,694003
257479946,694003
257479948,694003
257479950,694003
257479952,694003
257479954,694003
257479956,694003
257479958,694003
257479960,694003
257479962,694003
308230465,694003
308230467,694003
308230469,694003
308230471,694003
308230473,694003
308230475,694003
308230477,694003
308230479,694003
308230481,694003
308230483,694003
308230485,694003
308230487,694003
308230489,694003
308230491,694003
308230493,694003
308230495,694003
308230497,694003
308230499,694003
308230501,694003
308230503,694003
308230505,694003
308230507,694003
308230509,694003
308230511,694003
308230513,694003
308230515,694003
308230517,694003
308230519,694003
308230521,694003
308230523,694003
308230525,694003
308230527,694003
308230529,694003
308230531,694003
308230533,694003
308230535,694003
308230537,694003
308230539,694003
308230541,694003
308230543,694003
308230545,694003
308230547,694003
344332697,694003
558605806,694003
558605804,694003
572921605,694003
572921597,694003
572921593,694003
572921591,694003
572921589,694003
572921587,694003
572921585,694003
572921583,694003
572921581,694003
572921579,694003
572921577,694003
572921569,694003
572921567,694003
572921565,694003
572921563,694003
215478091,694003
215478103,694003
215478115,694003
215478127,694003
215478138,694003
215478150,694003
215478163,694003
197260969,694003
197709109,694003
197709111,694003
197709113,694003
310769579,694003
310769589,694003
310769577,694003
310769587,694003
124294673,694003
116008265,28295
116008267,28295
154268767,28295
158828619,28295
162296299,28295
162945937,28295
269927198,28295
269927200,28295
269927202,28295
269927204,28295
269927206,28295
269927208,28295
269927210,28295
258558881,28295
258558883,28295
258558885,28295
258558887,28295
258558889,28295
258558891,28295
258558893,28295
258558895,28295
258558897,28295
258558899,28295
258558901,28295
258558903,28295
258558905,28295
258558907,28295
258558909,28295
258558911,28295
258558913,28295
258558915,28295
258558917,28295
258558919,28295
258558921,28295
258558923,28295
258558925,28295
258558927,28295
258558929,28295
284795160,28295
332183925,28295
332271580,28295
332271582,28295
332271584,28295
332271586,28295
332271588,28295
347015128,28295
347015130,28295
347015131,28295
347015133,28295
347015134,28295
347015136,28295
347015138,28295
347015140,28295
347015141,28295
347015143,28295
347015144,28295
347015146,28295
347015148,28295
347015150,28295
354684076,28295
356892495,28295
356892497,28295
372349655,28295
388771511,28295
388771532,28295
388771554,28295
388771575,28295
388771599,28295
388771631,28295
388771656,28295
395484564,28295
395484568,28295
395484572,28295
395484576,28295
395484584,28295
395484588,28295
395484592,28295
395484596,28295
399140223,28295
399227061,28295
400294498,28295
402234660,28295
402234662,28295
402234664,28295
402235146,28295
407830448,28295
407830452,28295
407830456,28295
407830460,28295
407830464,28295
407830468,28295
407830472,28295
407830476,28295
407830480,28295
407830484,28295
407830488,28295
407830492,28295
159034149,694015
85068130,290028
85667876,290028
237861984,290028
239586259,290028
239586260,290028
239586262,290028
239586264,290028
239586266,290028
239586268,290028
239586269,290028
239586271,290028
239586273,290028
239586275,290028
239586277,290028
239586279,290028
239586281,290028
239586283,290028
239586284,290028
239586286,290028
239586288,290028
239586290,290028
239586292,290028
260279145,290028
260279147,290028
258676160,290028
258676162,290028
258676164,290028
258676166,290028
258676168,290028
258676170,290028
258676172,290028
258676174,290028
258676176,290028
258676178,290028
258676180,290028
258676182,290028
258676184,290028
258676186,290028
258676188,290028
258676190,290028
258676192,290028
258676194,290028
258676196,290028
258676198,290028
258676200,290028
258676202,290028
258676204,290028
258676206,290028
258676208,290028
258676210,290028
258676212,290028
258676214,290028
258676216,290028
258676218,290028
258676220,290028
258676222,290028
258676224,290028
258676226,290028
258676228,290028
258676230,290028
258676232,290028
258676234,290028
294610799,290028
294610801,290028
294610803,290028
294610805,290028
294610807,290028
306569684,290028
308230423,290028
308230425,290028
308230427,290028
308230429,290028
308230431,290028
308230433,290028
308230435,290028
308230437,290028
308230439,290028
308230441,290028
308230443,290028
308230445,290028
308230447,290028
358009018,290028
358009020,290028
358009022,290028
358009024,290028
358009026,290028
358009028,290028
358009030,290028
358009032,290028
358009034,290028
358009036,290028
358009038,290028
358009040,290028
358009042,290028
358009044,290028
358009046,290028
358009048,290028
358009050,290028
358009052,290028
358009054,290028
112785272,277944
157366311,277944
157366313,277944
157366315,277944
158530146,277944
158530148,277944
262358200,277944
262358202,277944
262358204,277944
262358206,277944
262358208,277944
262358210,277944
262358212,277944
262358214,277944
262358216,277944
262358218,277944
262358220,277944
262358222,277944
262358224,277944
262358226,277944
262358228,277944
262358230,277944
262358232,277944
262358234,277944
262358236,277944
262358238,277944
262358240,277944
262358242,277944
262358244,277944
262358246,277944
262358248,277944
262358250,277944
262358252,277944
262358254,277944
262358256,277944
262358258,277944
262358260,277944
262358262,277944
262358264,277944
262358266,277944
258676116,277944
258676118,277944
258676120,277944
258676122,277944
258676124,277944
258676126,277944
258676128,277944
258676130,277944
258676132,277944
258676134,277944
258676136,277944
258676138,277944
258676140,277944
258676142,277944
258676144,277944
258676146,277944
258676148,277944
258676150,277944
258676152,277944
258676154,277944
258676156,277944
258676158,277944
300834678,277944
300834680,277944
300834682,277944
300834684,277944
300834686,277944
300834688,277944
300834689,277944
300834691,277944
300834693,277944
300834695,277944
300834697,277944
300834699,277944
300834701,277944
300834703,277944
300834712,277944
300834714,277944
300834716,277944
300834718,277944
300834720,277944
300834722,277944
300834724,277944
300834726,277944
300834728,277944
300834730,277944
300834732,277944
300834734,277944
300834736,277944
300834738,277944
308230449,277944
308230451,277944
308230453,277944
308230455,277944
308230457,277944
308230459,277944
308230461,277944
308230463,277944
380513815,277944
380513819,277944
